Tarea,Algoritmo,Accuracy,Sensibilidad,Especificidad,F1
15,GNB,0.6286,0.4444,0.8235,0.5517
15,LDA,0.6571,0.7222,0.5882,0.6842
15,MLP,0.6286,0.6667,0.5882,0.6486
15,LVQ,0.6286,0.4444,0.8235,0.5517
16,LR,0.6571,0.5,0.8235,0.6
16,XGB,0.6286,0.4444,0.8235,0.5517
16,DT,0.5429,0.4444,0.6471,0.5
16,RF,0.5429,0.4444,0.6471,0.5
16,kNN,0.5714,0.5,0.6471,0.5455
16,SVM,0.6286,0.5,0.7647,0.5806
16,GNB,0.4857,0.5,0.4706,0.5
16,LDA,0.6,0.3889,0.8235,0.5
16,MLP,0.6286,0.6111,0.6471,0.6286
16,LVQ,0.6286,0.5,0.7647,0.5806
17,LR,0.6571,0.6667,0.6471,0.6667
17,XGB,0.7143,0.7778,0.6471,0.7368
17,DT,0.5429,0.6667,0.4118,0.6
17,RF,0.6857,0.7778,0.5882,0.7179
17,kNN,0.6,0.6111,0.5882,0.6111
17,SVM,0.6286,0.6667,0.5882,0.6486
17,GNB,0.5143,0.4444,0.5882,0.4848
17,LDA,0.6857,0.7222,0.6471,0.7027
17,MLP,0.6571,0.7778,0.5294,0.7
17,LVQ,0.5429,0.4444,0.6471,0.5
18,LR,0.5714,0.3333,0.8235,0.4444
18,XGB,0.5143,0.4444,0.5882,0.4848
18,DT,0.5714,0.5556,0.5882,0.5714
18,RF,0.5714,0.5,0.6471,0.5455
18,kNN,0.6,0.5,0.7059,0.5625
18,SVM,0.6,0.3333,0.8824,0.4615
18,GNB,0.5714,0.8333,0.2941,0.6667
18,LDA,0.6,0.3889,0.8235,0.5
18,MLP,0.6571,0.5556,0.7647,0.625
18,LVQ,0.5714,0.2778,0.8824,0.4
19,LR,0.7429,0.6667,0.8235,0.7273
19,XGB,0.8,0.7778,0.8235,0.8
19,DT,0.7714,0.7222,0.8235,0.7647
19,RF,0.7429,0.7222,0.7647,0.7429
19,kNN,0.7429,0.6667,0.8235,0.7273
19,SVM,0.7714,0.6111,0.9412,0.7333
19,GNB,0.6571,0.9444,0.3529,0.7391
19,LDA,0.6857,0.5556,0.8235,0.6452
19,MLP,0.8286,0.8889,0.7647,0.8421
19,LVQ,0.6857,0.7222,0.6471,0.7027
20,LR,0.7143,0.6111,0.8235,0.6875
20,XGB,0.6857,0.6111,0.7647,0.6667
20,DT,0.7429,0.7222,0.7647,0.7429
20,RF,0.7429,0.6667,0.8235,0.7273
20,kNN,0.6571,0.4444,0.8824,0.5714
20,SVM,0.6857,0.5556,0.8235,0.6452
20,GNB,0.6,0.3333,0.8824,0.4615
20,LDA,0.6857,0.5556,0.8235,0.6452
20,MLP,0.6857,0.5556,0.8235,0.6452
20,LVQ,0.6286,0.3889,0.8824,0.5185
21,LR,0.6857,0.6667,0.7059,0.6857
21,XGB,0.7429,0.7222,0.7647,0.7429
21,DT,0.6286,0.7222,0.5294,0.6667
21,RF,0.7429,0.6667,0.8235,0.7273
21,kNN,0.6857,0.6667,0.7059,0.6857
21,SVM,0.6571,0.5556,0.7647,0.625
21,GNB,0.6286,0.4444,0.8235,0.5517
21,LDA,0.6571,0.6111,0.7059,0.6471
21,MLP,0.6857,0.7222,0.6471,0.7027
21,LVQ,0.6,0.5,0.7059,0.5625
22,LR,0.5429,0.3889,0.7059,0.4667
22,XGB,0.6,0.5556,0.6471,0.5882
22,DT,0.5429,0.5556,0.5294,0.5556
22,RF,0.6,0.6111,0.5882,0.6111
22,kNN,0.6571,0.5,0.8235,0.6
22,SVM,0.6571,0.5556,0.7647,0.625
22,GNB,0.6571,0.3889,0.9412,0.5385
22,LDA,0.5429,0.4444,0.6471,0.5
22,MLP,0.6286,0.5556,0.7059,0.6061
22,LVQ,0.6,0.3333,0.8824,0.4615
23,LR,0.6571,0.6667,0.6471,0.6667
23,XGB,0.7714,0.8333,0.7059,0.7895
23,DT,0.5714,0.5,0.6471,0.5455
23,RF,0.7429,0.7778,0.7059,0.7568
23,kNN,0.6571,0.6667,0.6471,0.6667
23,SVM,0.7143,0.7222,0.7059,0.7222
23,GNB,0.6571,0.5556,0.7647,0.625
23,LDA,0.6,0.5556,0.6471,0.5882
23,MLP,0.6857,0.8333,0.5294,0.7317
23,LVQ,0.7143,0.6667,0.7647,0.7059
24,LR,0.6571,0.7778,0.5294,0.7
24,XGB,0.5143,0.5,0.5294,0.5143
24,DT,0.5429,0.6111,0.4706,0.5789
24,RF,0.5714,0.5,0.6471,0.5455
24,kNN,0.6286,0.5,0.7647,0.5806
24,SVM,0.6,0.5,0.7059,0.5625
24,GNB,0.7143,0.6667,0.7647,0.7059
24,LDA,0.5714,0.6111,0.5294,0.5946
24,MLP,0.6,0.5556,0.6471,0.5882
24,LVQ,0.6,0.5,0.7059,0.5625
25,LR,0.7429,0.7222,0.7647,0.7429
25,XGB,0.7143,0.7778,0.6471,0.7368
25,DT,0.6,0.6111,0.5882,0.6111
25,RF,0.6857,0.7778,0.5882,0.7179
25,kNN,0.6571,0.5,0.8235,0.6
25,SVM,0.6286,0.6111,0.6471,0.6286
25,GNB,0.7143,0.6667,0.7647,0.7059
25,LDA,0.7714,0.7778,0.7647,0.7778
25,MLP,0.6857,0.6667,0.7059,0.6857
25,LVQ,0.6857,0.6667,0.7059,0.6857
